中央台,#genre#
CCTV-4K超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV1,P2p://ns2.hellotvvod.com:9906/9f8f5ae001e34d68bfb289a761ba6fbc.ts
CCTV2,P2p://ns2.hellotvvod.com:9906/38dd6016fa0e4faf86067a5cb877bf31.ts
CCTV3,P2p://ns2.hellotvvod.com:9906/a9344197d48a4f48b0c08e436b578d8d.ts
CCTV4,P2p://ns2.hellotvvod.com:9906/58184e852f1945d3ad0a355d1fbf60a1.ts
CCTV5,P2p://ns2.hellotvvod.com:9906/8998d09ef6a54524ae70ad38ca3db7bf.ts
CCTV5+,P2p://ns2.hellotvvod.com:9906/e15e51b4bb454ce3b657e47dd63f3a4d.ts
CCTV6,P2p://ns2.hellotvvod.com:9906/3a3934fd1f6b4066855a6a0f5f19c021.ts
CCTV7,P2p://ns2.hellotvvod.com:9906/f5b1d8f294324e8a9b1b9c03c6ab07f6.ts
CCTV8,P2p://ns2.hellotvvod.com:9906/59904f7fc4ed4fd6853c3742ccc2cbef.ts
CCTV9,P2p://ns2.hellotvvod.com:9906/ba7a62d5b84245deb8251effc5110eaf.ts
CCTV10,P2p://ns2.hellotvvod.com:9906/8afb1d857bd747d28e8578de35e0897b.ts
CCTV11,P2p://ns2.hellotvvod.com:9906/accb2d7f7e144e969d24eac5c58af517.ts
CCTV12,P2p://ns2.hellotvvod.com:9906/f0a6d9bce8a147be8dfceb03ada87b7c.ts
CCTV13,P2p://ns2.hellotvvod.com:9906/fd306f67d170415b82d0c55bf96ae06b.ts
CCTV14,P2p://ns2.hellotvvod.com:9906/0330205fcbad4a70b6d58c61257531a6.ts
CCTV15,P2p://ns2.hellotvvod.com:9906/7184b65eeaae4ab1a96dc8b16743b6db.ts
CCTV16[1920],http://117.148.179.157/PLTV/88888888/224/3221233409/index.m3u8
CCTV17[1920],http://39.134.62.142:6610/PLTV/88888888/224/3221225765/index.m3u8?

高清卫视,#genre#
湖南卫视,P2p://ns2.hellotvvod.com:9906/e7b10521355e4812aec23582ff274f49.ts
深圳卫视,P2p://ns2.hellotvvod.com:9906/1ceb6145df7a495ba442112fe5177067.ts
广东卫视,P2p://ns2.hellotvvod.com:9906/3b6fc36cb11a4677ba641c60bdbace69.ts
北京卫视,P2p://ns2.hellotvvod.com:9906/e47e842086184246b037492d27402517.ts
江苏卫视,P2p://ns2.hellotvvod.com:9906/2672a726516d460e89cc972d085115bb.ts
浙江卫视,P2p://ns2.hellotvvod.com:9906/30177d65cb96469facc326e017f200ef.ts
天津卫视,P2p://ns2.hellotvvod.com:9906/854e5e18d1494647b8dfc9560742a2a4.ts
河北卫视,P2p://ns2.hellotvvod.com:9906/5b6742a9419e41339640fbc39f8804aa.ts
黑龙江卫视,P2p://ns2.hellotvvod.com:9906/d8273796be454e578d34f21cf3a32316.ts
辽宁卫视,P2p://ns2.hellotvvod.com:9906/ac981ab54c9543b5a3143de992268316.ts
东方卫视,P2p://ns2.hellotvvod.com:9906/5a26251a97aa45ddad2784d89c9e9667.ts
江西卫视,P2p://ns2.hellotvvod.com:9906/7774655f568644eea01df4df6a35f6ed.ts
山东卫视,P2p://ns2.hellotvvod.com:9906/c06edf55a5a849748255b1ffc27c9360.ts
东南卫视,P2p://ns2.hellotvvod.com:9906/cb46d9af6b0a4c508fd87014dfc0cf98.ts
湖北卫视,P2p://ns2.hellotvvod.com:9906/d809f753c9504bdaa5585928325526ae.ts
广西卫视,P2p://ns2.hellotvvod.com:9906/9cd20e63481244818b3d698c5b4d032d.ts
重庆卫视,P2p://ns2.hellotvvod.com:9906/d8aad4a8c5dc48678ed04176bdf9d952.ts
云南卫视,P2p://ns2.hellotvvod.com:9906/17e77eb2db4c48b8b323ffd013481028.ts
星空卫视,P2p://ns2.hellotvvod.com:9906/d620ab7e340d45bf9882f6bf7e359ddf.ts
广东南方卫视,P2p://ns2.hellotvvod.com:9906/1706fcf1b5454ffaaa97a419f36ba275.ts
珠江,P2p://ns2.hellotvvod.com:9906/78607ce356b14406bc71998a6e9d6cda.ts
金鹰卡通,P2p://ns2.hellotvvod.com:9906/ac0a589a208140c38ee37092e93896be.ts
魅力足球,P2p://ns2.hellotvvod.com:9906/8da72be8840f4ad0a1bd1f4e3f9828e3.ts
新视觉,P2p://ns2.hellotvvod.com:9906/f5933ac68d9245eea42724cb05665fe4.ts
广东体育,P2p://ns2.hellotvvod.com:9906/e95b77665b2f453489287b958acbcf8c.ts
CCTV16,P2p://ns2.hellotvvod.com:9906/5841ae8dcf4b4c65a4e7ea619d505661.ts
广东影视,P2p://ns2.hellotvvod.com:9906/f60ea64b3ab14bb6862e5127d5280a9f.ts

新闻1,#genre#
凤凰资讯,http://39.135.49.209:6610/PLTV/88888888/224/3221227226/1.m3u8?servicetype=1
凤凰中文,http://39.135.49.209:6610/PLTV/88888888/224/3221227222/1.m3u8?servicetype=1
凤凰香港,http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8
凤凰资讯,P2p://ns2.hellotvvod.com:9906/3c563d0a48ef4332af215b3e31acda38.ts
凤凰中文,P2p://ns2.hellotvvod.com:9906/9c66666a348748129322f31ca2cd6c48.ts
凤凰香港,P2p://ns2.hellotvvod.com:9906/271e5aaaa5f246a3954febc2e24715b9.ts
无线新闻,P2p://ns2.hellotvvod.com:9906/44ebc38b76fd45228616e077fe9078ea.ts
无线财经,P2p://ns2.hellotvvod.com:9906/af9bffe3ca304d80ba521e02674aaafd.ts
有线新闻,P2p://ns2.hellotvvod.com:9906/41a80a6c4fe742f196925c5429c4754d.ts
有线财经,P2p://ns2.hellotvvod.com:9906/a0a0e1f2e06640708d7cc57b2bf016f9.ts
有线直播,P2p://ns2.hellotvvod.com:9906/a2eeb4461f0b4a8b94657560ee5f4890.ts
now新闻,P2p://ns2.hellotvvod.com:9906/b4eec646d04f4c1ebc64899c744a144b.ts
now直播,P2p://ns2.hellotvvod.com:9906/ceb31453df7f450392c047108e9dd33c.ts
中天新闻,P2p://ns2.hellotvvod.com:9906/e95839a4221f4f5aa977848cb54bbf47.ts
TVBS新闻,P2p://ns2.hellotvvod.com:9906/279e9ce4943f4d9d896dabd204ce3f88.ts
东森新闻,P2p://ns2.hellotvvod.com:9906/0fe69ec2865c4f4ca559f100318dd982.ts
东森财经,P2p://ns2.hellotvvod.com:9906/6142b87c3bda48caa3a6b9f1db704e97.ts
三立新闻,P2p://ns2.hellotvvod.com:9906/e0d8a1f5f2d44f93bcef2eec7a771850.ts
三立iNEWS,P2p://ns2.hellotvvod.com:9906/fafdc74d98d1413f9103d354f5b90917.ts
壹新闻,P2p://ns2.hellotvvod.com:9906/1217d4fa03ea43f3910f4361da712da8.ts
台视新闻,P2p://ns2.hellotvvod.com:9906/c7be70432aac4c6fb85a9da31bc7d78e.ts
台视财经,P2p://ns2.hellotvvod.com:9906/f58090bbae4c41bf83eaba6a4e28a656.ts
华视新闻,P2p://ns2.hellotvvod.com:9906/f4e273cb41d84ed09b2ea2023e61bf13.ts
中视新闻,P2p://ns2.hellotvvod.com:9906/159baefe65b048c8b19597626b66ebeb.ts
民视新闻,P2p://ns2.hellotvvod.com:9906/b7bf0f6b220e413a9c528fcb3f7ff0ea.ts
非凡新闻,P2p://ns2.hellotvvod.com:9906/0a5140c765154ab580d92768b447519b.ts
非凡商业,P2p://ns2.hellotvvod.com:9906/4e8be2ed2cda4b918e7165faff00afcd.ts
